名称,NO.,编号,心级,华丽,简约,优雅,活泼,成熟,可爱,性感,清纯,清凉,保暖,标签,标签,获取途径,分类号,分类,部位
冰境幽语,061,10061,4,B,,B,,,SS,,S,SS,,,,店,10,发型,发型
天使兔,063,10063,5,,B,,S,,S,,A,A,,,,vip,10,发型,发型
葫芦串,064,10064,1,,B,,A,,A,,B,A,,中式古典,,4-5少,10,发型,发型
葫芦铃铛,065,10065,2,,A,,A,,A,,A,A,,中式古典,,进064,10,发型,发型
葫芦铃铛串,066,10066,3,A,,,S,,A,,S,A,,中式古典,,进065,10,发型,发型
音乐公主,067,10067,3,S,,,S,,S,,A,B,,,,2-8少,10,发型,发型
荒原珠,068,10068,3,S,,S,,,S,A,,S,,波西米亚,,迷/幻/2-3公/1-8公/联盟小铺,10,发型,发型
荒原珠·华丽,069,10069,4,S,,SS,,,B,S,,,B,波西米亚,,进068,10,发型,发型
荒原珠·珍稀,070,10070,5,SS,,SS,,,B,S,,,B,波西米亚,,进069,10,发型,发型
中学少女,071,10071,2,,A,,B,,C,,A,A,,,,3-2公,10,发型,发型
中学少女·华丽,072,10072,3,,S,A,,A,,,S,C,,,,进071,10,发型,发型
洋娃娃·金,074,10074,4,S,,,SS,,SS,,B,,A,,,店,10,发型,发型
可人,076,10076,3,A,,S,,,C,,S,,A,,,迷/幻/1-1公,10,发型,发型
可人·华丽,077,10077,4,S,,S,,A,,S,,,S,,,进076,10,发型,发型
狂野,078,10078,2,A,,,A,,A,A,,S,,摇滚风,,迷/3-1公,10,发型,发型
狂野·华丽,079,10079,3,A,,,S,A,,S,,A,,摇滚风,,进078,10,发型,发型
恬静时光,080,10080,2,,A,S,,,A,,A,C,,和风,,4-1少,10,发型,发型
恬静时光·华丽,081,10081,3,,A,S,,,B,,S,,S,和风,,进080/幻,10,发型,发型
恬静时光·珍稀,082,10082,4,,B,S,,,B,,S,,S,和风,,进081,10,发型,发型
鸽吟·棕,083,10083,5,S,,SS,,B,,,S,S,,大小姐,,定039,10,发型,发型
鸽吟·蓝,084,10084,5,S,,A,,,S,,S,S,,大小姐,,定039,10,发型,发型
花蕾,091,10091,3,,S,,S,,S,,S,C,,,,5-1少,10,发型,发型
花蕾·华丽,092,10092,4,,S,,B,,SS,,S,B,,,,进091,10,发型,发型
小狮子,093,10093,3,B,,,S,,S,,S,B,,,,店,10,发型,发型
麦穗,094,10094,3,,B,,B,,SS,,S,B,,,,6-7少,10,发型,发型
麦穗·华丽,095,10095,4,,A,,B,,A,,SS,,S,,,进094,10,发型,发型
红豆吻,097,10097,2,,A,,A,,A,,A,A,,,,4-支3少,10,发型,发型
红豆之吻,098,10098,3,,S,,B,,A,,S,,S,,,进097,10,发型,发型
橙允,099,10099,3,,S,,C,,S,,S,,S,,,店,10,发型,发型
鹿珍,100,10100,3,,S,,B,,B,,B,,S,,,5-9少/联盟小铺,10,发型,发型
俏丫头,102,10102,1,,A,,A,,A,,A,C,,,,成就,10,发型,发型
娃娃脸,103,10103,1,,A,,C,,S,,S,C,,,,店,10,发型,发型
丽人,104,10104,2,,A,S,,S,,A,,A,,医务使者,OL,店/迷,10,发型,发型
杨柳,105,10105,4,,A,,A,,S,,S,S,,中式古典,,迷/幻/飘渺/2-7公,10,发型,发型
杨柳·华丽,106,10106,5,S,,SS,,,S,,S,B,,中式古典,,进105,10,发型,发型
复古英伦,107,10107,3,B,,S,,SS,,A,,B,,英伦,,店/迷/幻,10,发型,发型
小护士,108,10108,3,,A,S,,A,,,A,A,,医务使者,OL,店,10,发型,发型
音符·黑,109,10109,3,,S,,A,,A,,S,S,,OL,,设计图,10,发型,发型
黄金稻,110,10110,3,S,,S,,B,,,B,S,,,,设计图,10,发型,发型
西部少女,111,10111,3,S,,B,,,B,S,,S,,,,迷/幻/3-9公,10,发型,发型
西部少女·华丽,112,10112,4,S,,S,,A,,S,,,S,,,进111,10,发型,发型
芝士蛋糕,113,10113,3,,A,A,,,S,,S,A,,,,迷/幻/2-支1公,10,发型,发型
芝士蛋糕·华丽,114,10114,4,,S,S,,,A,,S,,A,,,进113/迷/幻,10,发型,发型
芝士蛋糕·珍稀,115,10115,5,B,,,S,,SS,,A,,SS,,,进114,10,发型,发型
律政佳人,116,10116,2,,S,S,,C,,,C,S,,,,店/迷,10,发型,发型
满城,117,10117,3,,A,S,,A,,,S,A,,,,迷/幻/1-4公,10,发型,发型
满城·华丽,118,10118,4,S,,A,,,B,,SS,,S,,,进117/迷/幻,10,发型,发型
满城·珍稀,119,10119,5,S,,SS,,,B,,S,,S,,,进118,10,发型,发型
梦乡,120,10120,3,,A,S,,,S,,A,,A,,,店,10,发型,发型
狂野·珍稀,121,10121,4,S,,,A,A,,S,,S,,摇滚风,,进079,10,发型,发型
娇娆,122,10122,5,C,,S,,S,,A,,,A,,,vip,10,发型,发型
月缘,123,10123,4,S,,SS,,B,,S,,S,,,,设计图,10,发型,发型
小鹿,124,10124,4,S,,,A,,S,,S,C,,,,店,10,发型,发型
舞之星,125,10125,6,SS,,SS,,S,,A,,,S,,,设计图,10,发型,发型
哥特萝莉,126,10126,4,S,,,S,,A,S,,C,,哥特风,洛丽塔,设计图,10,发型,发型
蝴蝶·珍稀,127,10127,5,A,,S,,,A,,S,,SS,中式古典,,进141,10,发型,发型
紫蝶,128,10128,5,B,,SS,,SS,,,A,,S,中式古典,,定127,10,发型,发型
水沐,129,10129,3,,A,,A,,S,,S,A,,童话系,,迷/幻/2-1公/联盟小铺,10,发型,发型
水沐·华丽,130,10130,5,A,,S,,S,,,S,,S,童话系,,进129,10,发型,发型
小龙女,131,10131,5,B,,S,,S,,,SS,,B,中式古典,,设计图,10,发型,发型
汀兰,132,10132,4,B,,S,,S,,,SS,A,,,,迷,10,发型,发型
千枫,133,10133,3,,A,,S,,S,C,,S,,,,迷/幻/3-3公/7-8公,10,发型,发型
千枫·华丽,134,10134,4,,A,,S,,S,B,,S,,,,进133/迷/幻,10,发型,发型
千枫·珍稀,135,10135,5,S,,S,,,S,B,,,S,,,进134,10,发型,发型
鬼姬,136,10136,3,,A,,B,,A,,S,S,,和风,,迷/幻/4-1公/3-2公,10,发型,发型
鬼姬·华丽,137,10137,4,C,,,A,,A,,SS,S,,和风,,进136/迷/幻,10,发型,发型
鬼姬·珍稀,138,10138,5,SS,,SS,,B,,,SS,,B,和风,,进137,10,发型,发型
蝴蝶,140,10140,3,,A,B,,,A,,S,S,,中式古典,,迷/幻/飘渺/2-5公,10,发型,发型
蝴蝶·华丽,141,10141,4,C,,S,,,S,,S,A,,中式古典,,进140/迷/幻,10,发型,发型
雀吟,142,10142,5,S,,S,,S,,S,,S,,中式古典,,迷/幻,10,发型,发型
罗密欧,143,10143,4,,S,,S,,S,,A,S,,中性风,,店,10,发型,发型
人间四月天,144,10144,3,,S,A,,,A,,A,A,,,,设计图,10,发型,发型
宫秀,145,10145,5,S,,S,,S,,,S,A,,中式古典,,兑换,10,发型,发型
淑兰,146,10146,4,,A,S,,S,,,B,S,,,,设计图,10,发型,发型
韶颜,147,10147,3,,A,,C,,S,,S,,S,,,设计图,10,发型,发型
小红帽,148,10148,3,,A,,S,,A,,A,A,,,,迷/幻/1-9公,10,发型,发型
小红帽·华丽,149,10149,4,,A,,S,,S,,A,S,,,,进148/迷/幻,10,发型,发型
小红帽·珍稀,150,10150,4,,A,,A,,S,,S,,S,,,进149,10,发型,发型
寻梦,152,10152,3,S,,S,,,B,S,,B,,,,店,10,发型,发型
匆匆,153,10153,2,,S,,A,,A,,B,A,,,,成就,10,发型,发型
西域舞娘,154,10154,4,S,,S,,S,,,C,S,,舞者,,设计图,10,发型,发型
甜甜,155,10155,3,,C,,SS,,S,,C,S,,,,店,10,发型,发型
甜甜·银,156,10156,3,,C,,S,,A,,S,A,,,,定155,10,发型,发型
活力宝贝,159,10159,3,,A,,A,,S,,S,A,,,,店/迷/幻,10,发型,发型
温雅侍者,160,10160,3,,C,SS,,A,,A,,A,,中性风,,设计图,10,发型,发型
斯文侍者,161,10161,3,,A,S,,A,,A,,A,,中性风,,定160,10,发型,发型
乖顺侍者,163,10163,3,,A,S,,A,,,S,A,,中性风,,定160,10,发型,发型
夜华章,164,10164,5,A,,,A,,A,,A,,A,大小姐,,系统送,10,发型,发型
鲜柚,165,10165,3,S,,,B,,S,,A,S,,,,设计图,10,发型,发型
仁德,166,10166,3,,A,S,,A,,A,,S,,OL,,店,10,发型,发型
爱丽丝,167,10167,4,,S,,A,,S,,S,,S,,,兑换,10,发型,发型
小水手,168,10168,4,,S,,A,,S,,S,S,,,,迷,10,发型,发型
小钾花头发,169,10169,4,,A,,A,,S,,S,S,,,,店/迷/幻,10,发型,发型
甜美少女,170,10170,4,,S,S,,S,,A,,,S,,,成就,10,发型,发型
果酱,171,10171,3,,A,,S,,A,,A,A,,,,成就,10,发型,发型
漩涡,172,10172,4,S,,,S,,S,,A,S,,,,评选赛商店,10,发型,发型
小泡芙,173,10173,2,S,,,A,,A,,C,S,,,,评选赛商店,10,发型,发型
夜卜,174,10174,5,,B,S,,,S,,SS,,S,,,迷/幻,10,发型,发型
少儿主持人,178,10178,3,,A,,A,,S,,A,S,,,,迷/幻,10,发型,发型
摇滚女声·红,179,10179,3,A,,,S,A,,S,,B,,摇滚风,,店/幻,10,发型,发型
摇滚女声·紫,180,10180,3,A,,A,,A,,S,,S,,摇滚风,,定179,10,发型,发型
暮歌·棕,181,10181,3,,A,A,,A,,,A,,A,,,店,10,发型,发型
暮歌·金,183,10183,3,,S,S,,,B,,B,,B,,,定181,10,发型,发型
暮歌·紫,184,10184,3,,S,S,,,B,,S,,A,,,定181,10,发型,发型
呆毛少女·黑,185,10185,4,,B,,A,A,,,SS,SS,,,,店,10,发型,发型
呆毛少女·金,186,10186,4,,A,,A,A,,,A,SS,,,,定185,10,发型,发型
个性少女,187,10187,2,,A,B,,,A,,A,A,,,,店/迷,10,发型,发型
川流,188,10188,2,,A,A,,,A,,A,A,,,,定187,10,发型,发型
船岛,189,10189,3,S,,,S,,S,,C,A,,,,店/幻,10,发型,发型
小满的短发,190,10190,2,,S,,C,,A,,A,A,,,,成就,10,发型,发型
转校生·棕,192,10192,2,,A,,A,,A,,A,A,,,,店/迷/10-7少/3-8少,10,发型,发型
转校生·金,193,10193,2,,C,,S,,A,,A,A,,,,定192,10,发型,发型
小诗,194,10194,3,,A,,A,,A,,S,A,,,,设计图,10,发型,发型
蝶恋花,195,10195,5,S,,SS,,A,,,S,,S,,,成就,10,发型,发型
帽子控,196,10196,3,,S,,A,,B,,S,B,,,,幻,10,发型,发型
银色光辉,199,10199,4,,SS,A,,,B,,A,S,,,,迷/幻,10,发型,发型
知心姐姐,200,10200,3,,S,A,,A,,A,,A,,,,设计图,10,发型,发型
茶曲,201,10201,3,,S,A,,,B,,S,,S,,,幻,10,发型,发型
夜影,202,10202,4,A,,S,,,S,,B,,S,和风,哥特风,幻,10,发型,发型
莉莉斯新娘,203,10203,3,S,,,A,,A,,A,,S,,,暂无,10,发型,发型
斯文助理,204,10204,3,,S,A,,C,,S,,S,,,,1-6少,10,发型,发型
洛可,205,10205,4,,S,,S,,S,,A,S,,,,兑换,10,发型,发型
最美特工,206,10206,4,A,,A,,A,,S,,S,,摇滚风,,店,10,发型,发型
云墨,207,10207,4,,S,,A,,S,,S,S,,中式现代,,设计图,10,发型,发型
绮霞,208,10208,4,,S,,S,,S,,A,S,,中式现代,,定207,10,发型,发型
诗梦,209,10209,4,,S,,S,,S,,A,S,,中式现代,,定207,10,发型,发型
花田少女,210,10210,5,,B,C,,,B,,A,,B,,,系统送,10,发型,发型
倾慕,214,10214,5,A,,S,,,A,,B,,A,,,首冲,10,发型,发型
暖心,215,10215,5,A,,B,,,A,,A,,A,,,迷,10,发型,发型
暖心·棕,217,10217,4,,B,B,,,S,,SS,,S,,,幻,10,发型,发型
灵幔,219,10219,4,A,,,SS,,B,,S,A,,,,系统送,10,发型,发型
灵幔·金,220,10220,4,,B,S,,,S,,S,,S,,,幻,10,发型,发型
锦心,226,10226,5,A,,,A,,A,,A,A,,,,签到,10,发型,发型
武媚娘,227,10227,5,,S,S,,S,,,S,,S,,,套装成就,10,发型,发型
圣神皇帝,228,10228,5,S,,SS,,S,,,S,,S,,,vip,10,发型,发型
信鸽少年,232,10232,2,,A,A,,A,,,A,A,,,,迷,10,发型,发型
苹果派,233,10233,2,,A,A,,S,,,C,,A,,,迷,10,发型,发型
中分的薇雅,234,10234,3,,A,S,,S,,,A,S,,,,兑换,10,发型,发型
盘发的伊莎,235,10235,3,,B,S,,A,,S,,S,,,,兑换,10,发型,发型
塞壬海妖,236,10236,3,,C,S,,A,,S,,,S,,,兑换,10,发型,发型
琪琪云,238,10238,4,,B,B,,S,,S,,S,,,,成就,10,发型,发型
提线娃娃·黑,239,10239,4,S,,B,,S,,S,,,S,,,店,10,发型,发型
亚麻少女,240,10240,3,S,,S,,,S,,S,B,,,,幻,10,发型,发型
提线娃娃·棕,241,10241,4,S,,B,,S,,S,,,S,,,定239,10,发型,发型
罗密欧·黑,242,10242,4,,S,S,,C,,,S,S,,中性风,,定143,10,发型,发型
罗密欧·金,244,10244,4,,S,S,,B,,,S,S,,中性风,,定143,10,发型,发型
寻梦·白,246,10246,3,S,,,B,,S,,S,B,,,,定152,10,发型,发型
匆匆·棕,247,10247,2,,S,,C,,A,,A,A,,,,定153,10,发型,发型
匆匆·金,248,10248,2,,A,,A,,A,,A,A,,,,定153,10,发型,发型
葫芦串·黑,249,10249,1,,B,,A,,B,,A,A,,中式古典,,定064,10,发型,发型
葫芦铃铛·黑,254,10254,2,,A,,A,,A,,A,A,,中式古典,,定065,10,发型,发型
葫芦铃铛串·粉,255,10255,3,A,,,A,,A,,A,S,,中式古典,,定066,10,发型,发型
葫芦铃铛串·黑,256,10256,3,A,,,A,,A,,A,A,,中式古典,,定066,10,发型,发型
荒原珠·紫,258,10258,3,,B,S,,,S,,S,C,,波西米亚,,定068,10,发型,发型
荒原珠·棕,260,10260,4,,B,S,,SS,,,B,,S,波西米亚,,定069,10,发型,发型
荒原珠·银,261,10261,5,SS,,S,,B,,,S,,S,波西米亚,,定070,10,发型,发型
荒原珠·金,262,10262,5,,A,SS,,A,,,A,,SS,波西米亚,,定070,10,发型,发型
云端舞娘·黑,272,10272,5,SS,,B,,SS,,SS,,,B,中式古典,舞者,定057,10,发型,发型
云端舞娘·粉,273,10273,5,S,,S,,S,,S,,,S,中式古典,舞者,定057,10,发型,发型
云端舞娘·金,274,10274,5,S,,B,,S,,S,,,S,中式古典,舞者,定057,10,发型,发型
蘑菇头,275,10275,2,,A,,A,,S,,A,C,,,,店,10,发型,发型
可人·棕,281,10281,3,A,,S,,,A,,S,,A,,,定076,10,发型,发型
可人·银,285,10285,4,S,,S,,,B,,S,,S,,,定077,10,发型,发型
轻音尘·紫,286,10286,5,SS,,,B,,SS,,S,,S,,,定058,10,发型,发型
轻音尘·棕,287,10287,5,S,,,S,,S,,S,,S,,,定058,10,发型,发型
冰境幽语·棕,292,10292,4,,S,A,,,S,,S,S,,,,定061,10,发型,发型
小狮子·棕,293,10293,3,B,,,S,,S,,S,C,,,,定093,10,发型,发型
小狮子·浅棕,294,10294,3,B,,,S,,S,,S,B,,,,定093,10,发型,发型
小狮子·金,295,10295,3,B,,,S,,S,,S,S,,,,定093,10,发型,发型
小护士·棕,303,10303,2,,A,A,,A,,A,,A,,医务使者,OL,定108,10,发型,发型
小护士·浅棕,304,10304,2,,A,A,,A,,A,,A,,医务使者,OL,定108,10,发型,发型
小护士·白,305,10305,2,,C,A,,S,,A,,A,,医务使者,OL,定108,10,发型,发型
律政佳人·金,315,10315,2,,A,A,,A,,,A,A,,,,定116,10,发型,发型
律政佳人·白金,316,10316,2,,A,A,,A,,,A,A,,,,定116,10,发型,发型
成熟姐姐·棕,324,10324,5,,B,S,,S,,S,,,S,,,定122,10,发型,发型
成熟姐姐·金,325,10325,5,,B,SS,,SS,,S,,,B,,,定122,10,发型,发型
蓝色风暴,335,10335,3,S,,,A,A,,A,,A,,摇滚风,,定079,10,发型,发型
黑色风暴,336,10336,3,A,,,A,A,,A,,S,,摇滚风,,定079,10,发型,发型
炫彩风暴,337,10337,3,S,,,A,S,,S,,A,,摇滚风,,定079,10,发型,发型
黑色风暴·华丽,338,10338,4,S,,,S,S,,S,,,S,摇滚风,,定121,10,发型,发型
紫色风暴,340,10340,4,A,,,S,S,,S,,,S,摇滚风,,定121,10,发型,发型
狂野·银,341,10341,2,A,,,A,A,,A,,A,,摇滚风,,定078,10,发型,发型
狂野·黑,342,10342,2,A,,,A,C,,A,,A,,摇滚风,,定078,10,发型,发型
恬静时光·金,344,10344,2,,A,A,,,A,,A,A,,和风,,定080,10,发型,发型
恬静时光·粉,350,10350,4,,B,S,,S,,,S,,S,和风,,定082,10,发型,发型
树莓冰,353,10353,3,,S,C,,,A,,A,S,,,,店,10,发型,发型
树莓冰·棕,354,10354,3,,S,C,,,A,,S,S,,,,定353,10,发型,发型
双马尾长发,357,10357,3,,S,,C,,S,,S,B,,,,店,10,发型,发型
动力少女,359,10359,3,,S,,A,,A,,A,A,,,,5-0少,10,发型,发型
双马尾少女,363,10363,2,,A,,A,,A,,A,A,,,,迷,10,发型,发型
未来少女·金,365,10365,2,A,,,C,,A,,S,A,,,,店,10,发型,发型
未来少女·青,367,10367,2,A,,,C,,S,,A,S,,,,定365,10,发型,发型
花蕾·金,369,10369,3,S,,,B,,S,,S,B,,,,定091,10,发型,发型
花蕾·亚麻,370,10370,3,S,,,B,,S,,S,B,,,,定091,10,发型,发型
花蕾·棕,371,10371,4,S,,S,,,S,,S,B,,,,定092,10,发型,发型
麦穗·太阳,380,10380,3,S,,S,,,B,,S,,B,,,店,10,发型,发型
麦穗·歌谣,381,10381,3,A,,A,,,S,,A,,A,,,定380,10,发型,发型
麦穗·田园,382,10382,3,A,,S,,A,,,A,,S,,,定380,10,发型,发型
红豆吻·黑,385,10385,2,,A,,A,,A,,A,A,,,,定097,10,发型,发型
红豆之吻·蓝,386,10386,3,,B,,S,,S,,S,B,,,,定098,10,发型,发型
红豆之吻·黑,388,10388,3,,B,B,,,S,,S,B,,,,定098,10,发型,发型
橙允·紫,389,10389,3,,A,S,,,A,,S,C,,,,定099,10,发型,发型
橙允·金,390,10390,3,,S,A,,,S,,S,C,,,,定099,10,发型,发型
橙允·粉,391,10391,3,,S,S,,,S,,S,C,,,,定099,10,发型,发型
音乐公主·金棕,396,10396,3,S,,,A,,B,,S,,S,,,定067,10,发型,发型
天使兔·紫,402,10402,5,,S,,S,,S,,S,S,,,,定063,10,发型,发型
娃娃脸·棕,418,10418,1,,A,,A,,C,,A,A,,,,定103,10,发型,发型
娃娃脸·紫,419,10419,1,,S,C,,,C,,A,A,,,,定103,10,发型,发型
琴歌,420,10420,3,,S,B,,S,,,B,,S,,,幻,10,发型,发型
砂砾·粉,421,10421,2,,C,,A,,A,,S,A,,,,店,10,发型,发型
砂砾·棕,422,10422,2,,A,,C,,A,,A,A,,,,定421,10,发型,发型
砂砾·金,423,10423,2,,S,,C,,B,,S,S,,,,定421,10,发型,发型
砂砾·黑,424,10424,2,,S,,B,,B,,S,S,,,,定421,10,发型,发型
普通短发,426,10426,2,,S,,B,,C,,S,S,,,,5-3少,10,发型,发型
情丝,428,10428,2,,A,A,,C,,,A,,A,,,店,10,发型,发型
神仙姐姐,435,10435,3,B,,S,,S,,S,,,B,中式古典,,店,10,发型,发型
白府夫人,437,10437,4,,B,SS,,S,,B,,S,,和风,,店,10,发型,发型
绢纺主母,438,10438,4,,B,S,,S,,S,,S,,中式古典,,店,10,发型,发型
落铃,439,10439,2,,A,,C,,S,,S,B,,,,2-5少/10-1少,10,发型,发型
森林精灵,442,10442,3,,SS,,B,,B,,S,B,,,,幻,10,发型,发型
雅静,443,10443,3,,S,S,,,B,,S,B,,,,6-1少,10,发型,发型
猫娘,448,10448,4,B,,,B,,S,,SS,,S,,,vip,10,发型,发型
名媛淑女,451,10451,3,,S,,B,,B,,B,SS,,,,店,10,发型,发型
丸子头,452,10452,3,,S,,B,,S,,S,S,,,,店,10,发型,发型
初恋,454,10454,4,,SS,SS,,,B,,B,S,,中式古典,,店/飘渺,10,发型,发型
回忆,456,10456,3,B,,SS,,B,,,S,B,,,,店,10,发型,发型
心动,460,10460,2,,A,A,,A,,,A,A,,,,迷,10,发型,发型
学姐长发,461,10461,2,,A,S,,A,,B,,,B,,,迷,10,发型,发型
短发御姐,462,10462,2,,S,A,,,C,,A,A,,,,店,10,发型,发型
姐姐长发,465,10465,2,,A,A,,A,,S,,,C,,,店,10,发型,发型
姐姐长发·金,470,10470,2,,A,A,,S,,C,,,C,,,迷,10,发型,发型
信鸽女神,471,10471,3,B,,S,,S,,S,,,B,,,vip,10,发型,发型
邻家姐姐,474,10474,2,,S,S,,S,,C,,,B,,,迷,10,发型,发型
长发娃娃,476,10476,3,,S,S,,B,,,S,,S,,,6-8少,10,发型,发型
小企,489,10489,5,,A,,S,,S,,S,,B,,,店,10,发型,发型
云霭,490,10490,5,A,,S,,S,,S,,,B,,,店,10,发型,发型
冰原圣花,491,10491,5,S,,A,,A,,B,,,C,,,成就,10,发型,发型
绮乐,492,10492,5,A,,,SS,,A,,S,,B,,,店,10,发型,发型
纯真的梦,493,10493,5,,A,,A,,S,,S,A,,,,店,10,发型,发型
自由舞者,494,10494,6,,S,SS,,S,,,S,S,,,,进495,10,发型,发型
纯洁舞者,495,10495,5,,S,S,,S,,,S,A,,,,设计图,10,发型,发型
三好学生,496,10496,3,,S,A,,,A,,S,A,,,,店,10,发型,发型
香粽少女,497,10497,3,,S,A,,,A,,A,,A,,,设计图,10,发型,发型
灯芯·棕,498,10498,3,,B,B,,,S,,S,B,,,,7-7少/9-7少,10,发型,发型
灯芯·黑,499,10499,3,,A,B,,,S,,S,B,,,,定498,10,发型,发型
灯芯·幻,500,10500,3,S,,A,,,B,,S,B,,,,定498,10,发型,发型
玲珑清心,501,10501,3,,B,A,,A,,,S,S,,中式现代,,设计图,10,发型,发型
机智少女,502,10502,3,,A,,S,,S,,A,B,,民族风,,评选赛商店,10,发型,发型
花昔颜,503,10503,5,,S,S,,S,,A,,A,,中式现代,,飘渺/翡翠,10,发型,发型
少年游,504,10504,2,,B,,S,A,,,S,B,,中式古典,,设计图,10,发型,发型
少年游·华丽,505,10505,3,,A,,S,B,,,S,B,,中式古典,,进504,10,发型,发型
庄园娇花,506,10506,3,,A,A,,SS,,S,,B,,,,7-2公/5-7公,10,发型,发型
庄园娇花·华丽,507,10507,4,,A,A,,SS,,SS,,A,,,,进506,10,发型,发型
墨兰画卷,508,10508,4,A,,S,,SS,,,A,B,,中式现代,,设计图,10,发型,发型
